Period,Region,Homeless Adults,Male,Female,Ages18_24,Ages25_44,Ages45_64,Ages65Up,PEA,STA,TEA,Other,TotalFamilies,DependentChild
01-12-2016,Dublin,3162,1713,1449,533,1987,599,43,1755,1394,68,0,1028,2096
01-12-2016,Mid-East,210,123,87,28,127,48,7,92,84,34,0,28,75
01-12-2016,Midlands,59,32,27,17,28,13,1,23,0,36,0,13,22
01-12-2016,Mid-West,288,183,105,43,164,73,8,54,201,33,0,39,86
01-12-2016,North-East,116,72,44,20,68,23,5,70,44,2,0,18,36
01-12-2016,North-West,36,26,10,5,19,12,0,1,20,7,8,1,1
01-12-2016,South-East,293,201,92,56,156,69,12,104,170,4,15,19,36
01-12-2016,South-West,296,206,90,34,184,71,7,106,195,0,0,38,91
01-12-2016,West,183,131,52,29,96,57,1,63,97,18,6,21,62
01-01-2017,Dublin,3247,1766,1481,559,2027,615,46,1723,1515,72,0,1007,2046
01-01-2017,Mid-East,211,120,91,31,131,41,8,93,83,35,0,26,79
01-01-2017,Midlands,66,35,31,16,38,11,1,19,0,47,0,18,30
01-01-2017,Mid-West,281,187,94,41,156,74,10,41,203,24,13,27,52
01-01-2017,North-East,121,74,47,18,69,30,4,79,41,1,0,16,24
01-01-2017,North-West,41,32,9,7,22,12,0,2,19,9,11,1,1
01-01-2017,South-East,276,188,88,49,150,65,12,101,155,4,16,11,16
01-01-2017,South-West,312,217,95,33,195,77,7,113,203,0,0,41,106
01-01-2017,West,205,144,61,35,106,62,2,66,112,34,6,25,53
01-02-2017,Dublin,3310,1791,1519,550,2080,634,46,1768,1537,72,0,1055,2129
01-02-2017,Mid-East,227,127,100,32,138,48,9,116,81,30,0,28,74
01-02-2017,Midlands,67,31,36,16,40,10,1,24,0,43,0,18,34
01-02-2017,Mid-West,301,192,109,41,177,75,8,61,201,39,0,42,85
01-02-2017,North-East,105,67,38,8,66,28,3,61,44,0,0,10,17
01-02-2017,North-West,44,33,11,7,21,15,1,1,24,8,11,2,4
01-02-2017,South-East,282,194,88,47,157,64,14,98,164,4,16,10,15
01-02-2017,South-West,341,228,113,40,212,83,6,139,205,0,0,50,125
01-02-2017,West,198,134,64,35,94,67,2,64,123,29,5,24,63
01-03-2017,Dublin,3299,1774,1525,549,2067,643,40,1712,1529,75,0,1069,2214
01-03-2017,Mid-East,226,131,95,30,138,47,11,115,81,30,0,24,69
01-03-2017,Midlands,83,39,44,17,54,12,0,44,0,39,0,24,48
01-03-2017,Mid-West,318,200,118,49,189,73,7,74,201,43,0,40,79
01-03-2017,North-East,113,69,44,15,71,24,3,72,41,0,0,7,13
01-03-2017,North-West,41,32,9,3,19,18,1,0,21,10,10,2,7
01-03-2017,South-East,281,193,88,50,159,64,8,98,164,2,17,8,13
01-03-2017,South-West,349,227,122,39,219,86,5,156,195,0,0,61,145
01-03-2017,West,199,133,66,31,96,70,2,70,115,22,5,21,55
01-04-2017,Dublin,3337,1785,1552,548,2098,645,46,1459,1823,75,0,1091,2262
01-04-2017,Mid-East,234,134,100,35,140,50,9,123,82,29,0,36,75
01-04-2017,Midlands,78,36,42,18,52,7,1,37,0,41,0,25,38
01-04-2017,Mid-West,324,189,135,45,202,71,6,83,203,38,0,46,86
01-04-2017,North-East,151,87,64,19,100,28,4,113,40,0,0,18,44
01-04-2017,North-West,52,36,16,6,24,21,1,0,27,12,13,2,7
01-04-2017,South-East,282,195,87,53,153,66,10,102,161,3,16,9,15
01-04-2017,South-West,332,218,114,37,210,77,8,140,196,0,0,54,126
01-04-2017,West,182,113,69,32,85,62,3,70,105,2,5,21,55
01-05-2017,Dublin,3327,1779,1548,550,2075,652,50,1507,1778,74,0,1099,2266
01-05-2017,Mid-East,236,138,98,38,139,50,9,124,83,29,0,21,63
01-05-2017,Midlands,79,39,40,15,54,10,0,39,40,0,0,26,54
01-05-2017,Mid-West,323,186,137,44,201,71,7,84,207,36,0,53,102
01-05-2017,North-East,126,80,46,16,82,25,3,85,41,0,0,18,44
01-05-2017,North-West,44,35,9,3,25,16,0,2,20,10,12,2,7
01-05-2017,South-East,281,189,92,49,152,70,10,102,157,3,19,16,32
01-05-2017,South-West,315,201,114,37,191,78,9,121,196,0,0,58,150
01-05-2017,West,191,125,66,28,90,69,4,78,108,2,5,19,59
01-06-2017,Dublin,3406,1833,1573,573,2111,674,48,1471,1959,78,0,1115,2270
01-06-2017,Mid-East,251,144,107,36,148,53,14,138,86,27,0,28,76
01-06-2017,Midlands,82,36,46,21,49,11,1,41,41,0,0,27,51
01-06-2017,Mid-West,317,185,132,42,196,72,7,82,204,32,0,53,112
01-06-2017,North-East,115,70,45,11,77,23,4,61,54,0,0,14,40
01-06-2017,North-West,56,47,9,6,34,16,0,4,28,10,14,3,10
01-06-2017,South-East,298,200,98,49,165,73,11,114,162,3,19,18,34
01-06-2017,South-West,313,203,110,34,190,81,8,127,191,0,0,61,165
01-06-2017,West,208,132,76,30,100,74,4,93,115,2,4,46,137
01-07-2017,Dublin,3528,1904,1624,590,2187,698,53,1536,1969,76,0,1178,2423
01-07-2017,Mid-East,250,137,113,37,152,50,11,127,97,26,0,38,65
01-07-2017,Midlands,73,31,42,15,48,10,0,39,34,0,0,25,55
01-07-2017,Mid-West,339,188,151,56,198,77,8,108,205,29,0,50,80
01-07-2017,North-East,127,75,52,11,90,22,4,73,54,0,0,20,48
01-07-2017,North-West,50,38,12,5,28,16,1,2,27,10,11,0,0
01-07-2017,South-East,325,216,109,54,181,80,10,128,168,3,26,24,41
01-07-2017,South-West,296,188,108,33,170,87,6,106,192,0,0,54,143
01-07-2017,West,199,125,74,25,111,60,3,82,111,2,4,40,118
01-08-2017,Dublin,3527,1888,1639,578,2202,692,55,1521,1976,78,0,1146,2379
01-08-2017,Mid-East,248,140,108,34,154,50,10,125,97,26,0,35,62
01-08-2017,Midlands,71,32,39,13,47,11,0,34,37,0,0,24,47
01-08-2017,Mid-West,352,198,154,48,212,83,9,107,209,38,0,74,147
01-08-2017,North-East,125,75,50,11,88,21,5,77,48,0,0,17,48
01-08-2017,North-West,42,29,13,5,23,13,1,1,22,11,8,3,8
01-08-2017,South-East,328,216,112,57,183,78,10,118,172,3,35,31,54
01-08-2017,South-West,320,199,121,36,193,84,7,135,188,0,0,66,176
01-08-2017,West,209,133,76,29,117,59,4,84,120,1,5,46,127
01-09-2017,Dublin,3537,1904,1633,547,2223,707,60,1570,1959,73,0,1138,2416
01-09-2017,Mid-East,257,146,111,33,150,62,12,130,99,28,0,44,89
01-09-2017,Midlands,67,29,38,16,40,11,0,30,37,0,0,22,47
01-09-2017,Mid-West,363,203,160,65,201,86,11,124,201,38,0,81,152
01-09-2017,North-East,140,81,59,15,93,28,4,59,80,1,0,24,65
01-09-2017,North-West,54,40,14,4,30,19,1,2,26,11,15,2,7
01-09-2017,South-East,309,206,103,53,176,70,10,101,172,3,33,32,55
01-09-2017,South-West,330,206,124,44,199,78,9,145,187,0,0,68,173
01-09-2017,West,193,122,71,29,108,52,4,83,106,0,5,44,120
01-10-2017,Dublin,3536,1899,1637,553,2226,696,61,1565,1936,71,0,1139,2425
01-10-2017,Mid-East,242,138,104,33,135,62,12,123,97,22,0,27,64
01-10-2017,Midlands,78,34,44,21,44,13,0,35,43,0,0,24,51
01-10-2017,Mid-West,367,209,158,63,203,90,11,112,212,43,0,83,167
01-10-2017,North-East,143,83,60,19,93,28,3,60,82,1,0,28,73
01-10-2017,North-West,54,40,14,9,25,17,3,7,23,12,12,3,9
01-10-2017,South-East,330,221,109,59,194,66,11,111,183,3,33,43,81
01-10-2017,South-West,345,216,129,40,224,72,9,152,196,0,0,67,183
01-10-2017,West,203,125,78,29,116,53,5,85,114,0,4,49,141
01-11-2017,Dublin,3691,2001,1690,572,2326,737,56,1613,2046,73,0,1188,2533
01-11-2017,Mid-East,263,158,105,38,143,67,15,152,88,23,0,30,73
01-11-2017,Midlands,80,38,42,23,42,15,0,40,40,0,0,23,50
01-11-2017,Mid-West,365,215,150,56,220,80,9,120,207,41,0,87,173
01-11-2017,North-East,148,86,62,22,93,30,3,96,51,1,0,33,85
01-11-2017,North-West,57,41,16,8,32,15,2,6,27,14,12,3,9
01-11-2017,South-East,335,219,116,57,193,75,10,120,179,2,34,44,80
01-11-2017,South-West,376,243,133,44,237,87,8,192,229,0,0,63,168
01-11-2017,West,209,126,83,25,122,57,5,98,107,0,4,59,162
01-12-2017,Dublin,3712,2065,1647,558,2353,738,63,1544,2125,62,0,1121,2385
01-12-2017,Mid-East,278,159,119,49,151,64,14,147,108,23,0,38,91
01-12-2017,Midlands,76,40,36,17,45,13,1,34,42,0,0,19,40
01-12-2017,Mid-West,344,206,138,48,213,75,8,77,238,29,0,64,127
01-12-2017,North-East,145,85,60,21,88,32,4,95,50,0,0,32,84
01-12-2017,North-West,46,35,11,4,23,17,2,1,23,13,9,2,7
01-12-2017,South-East,322,218,104,46,185,80,11,102,181,4,35,36,67
01-12-2017,South-West,358,241,117,47,218,82,11,186,186,0,0,57,148
01-12-2017,West,227,142,85,28,137,55,7,91,111,27,4,39,130
01-01-2018,Dublin,3919,2194,1725,609,2447,792,71,1631,2279,67,0,1191,2509
01-01-2018,Mid-East,290,171,119,46,163,77,4,153,114,23,0,33,90
01-01-2018,Midlands,78,43,35,17,47,13,1,38,40,0,0,18,38
01-01-2018,Mid-West,372,207,165,53,227,83,9,88,247,47,0,75,153
01-01-2018,North-East,155,90,65,28,91,31,5,101,51,3,0,52,101
01-01-2018,North-West,53,38,15,3,28,20,2,5,23,13,12,2,7
01-01-2018,South-East,354,235,119,51,196,97,10,117,197,4,36,44,78
01-01-2018,South-West,375,245,130,52,226,88,9,197,196,0,0,63,165
01-01-2018,West,241,152,89,32,144,60,5,94,111,35,4,39,126
01-02-2018,Dublin,4021,2238,1783,640,2509,802,70,1630,2377,66,0,1329,2801
01-02-2018,Mid-East,294,172,122,38,180,68,8,156,114,24,0,44,117
01-02-2018,Midlands,85,44,41,16,57,11,1,46,39,0,0,27,60
01-02-2018,Mid-West,378,230,148,54,231,85,8,100,232,49,0,82,160
01-02-2018,North-East,155,89,66,25,96,28,6,100,53,2,0,63,155
01-02-2018,North-West,53,39,14,2,32,18,1,8,22,13,10,4,11
01-02-2018,South-East,378,249,129,59,199,109,11,143,193,4,38,50,83
01-02-2018,South-West,434,266,168,70,263,94,7,263,181,0,0,91,222
01-02-2018,West,254,155,99,34,143,70,7,112,121,24,4,49,146
01-03-2018,Dublin,4107,2282,1825,643,2561,832,71,1740,2395,66,0,1329,2780
01-03-2018,Mid-East,319,177,142,46,183,81,9,170,124,25,0,56,143
01-03-2018,Midlands,95,46,49,18,64,13,0,55,40,0,0,28,54
01-03-2018,Mid-West,361,221,140,50,215,87,9,115,205,44,0,59,108
01-03-2018,North-East,60,43,17,16,15,23,6,0,57,3,0,23,49
01-03-2018,North-West,59,41,18,6,33,19,1,13,23,14,9,7,16
01-03-2018,South-East,352,236,116,59,189,92,12,139,181,4,28,45,64
01-03-2018,South-West,402,251,151,63,240,91,8,235,194,0,0,91,214
01-03-2018,West,280,169,111,42,155,73,10,127,126,26,4,82,218
01-04-2018,Dublin,4005,2199,1806,630,2460,844,71,1726,2323,66,0,1351,2810
01-04-2018,Mid-East,290,168,122,40,165,75,10,136,132,22,0,47,141
01-04-2018,Midlands,105,53,52,22,62,21,0,63,42,0,0,30,75
01-04-2018,Mid-West,363,220,143,52,212,88,11,118,201,44,0,66,127
01-04-2018,North-East,128,68,60,15,75,33,5,73,54,1,0,19,45
01-04-2018,North-West,59,41,18,6,37,15,1,10,26,12,11,3,8
01-04-2018,South-East,298,209,89,56,160,73,9,71,194,4,29,30,62
01-04-2018,South-West,424,262,162,61,253,99,11,253,186,0,0,86,205
01-04-2018,West,291,175,116,42,168,72,9,139,151,0,3,80,216
01-05-2018,Dublin,4062,2219,1843,638,2476,876,72,1712,2328,67,0,1338,2886
01-05-2018,Mid-East,282,159,123,35,168,71,8,114,146,22,0,48,130
01-05-2018,Midlands,103,56,47,17,73,12,1,65,38,0,0,27,69
01-05-2018,Mid-West,386,230,156,54,228,94,10,128,211,52,0,73,141
01-05-2018,North-East,116,68,48,13,65,31,7,61,54,1,0,25,55
01-05-2018,North-West,55,41,14,2,31,21,1,10,26,13,6,3,8
01-05-2018,South-East,309,210,99,57,164,77,11,81,195,4,29,28,58
01-05-2018,South-West,426,256,170,62,257,97,10,250,186,0,0,100,246
01-05-2018,West,281,159,122,44,160,69,8,142,136,0,3,82,233
01-06-2018,Dublin,4083,2227,1856,620,2505,884,74,1731,2326,68,0,1352,2858
01-06-2018,Mid-East,267,159,108,30,157,69,11,123,122,22,0,51,124
01-06-2018,Midlands,100,54,46,21,59,19,1,62,38,0,0,25,70
01-06-2018,Mid-West,386,228,158,55,228,90,13,131,202,53,0,84,173
01-06-2018,North-East,129,71,58,10,80,32,7,75,53,1,0,24,54
01-06-2018,North-West,49,35,14,4,23,21,1,9,24,12,4,4,9
01-06-2018,South-East,314,209,105,61,167,79,7,90,192,3,29,38,72
01-06-2018,South-West,428,246,182,72,252,95,9,266,177,0,0,93,257
01-06-2018,West,292,164,128,39,177,69,7,150,138,0,4,83,207
01-07-2018,Dublin,4097,2218,1879,612,2506,904,75,1747,2352,67,0,1367,2894
01-07-2018,Mid-East,248,145,103,28,145,63,12,115,111,22,0,51,129
01-07-2018,Midlands,104,54,50,25,63,15,1,67,37,0,0,35,83
01-07-2018,Mid-West,379,220,159,54,216,95,14,134,201,47,0,85,176
01-07-2018,North-East,127,71,56,10,75,33,9,76,50,1,0,21,43
01-07-2018,North-West,47,39,8,9,22,15,1,11,21,13,2,4,7
01-07-2018,South-East,310,203,107,65,159,78,8,93,187,4,26,35,71
01-07-2018,South-West,425,245,180,72,247,96,10,246,193,0,0,95,255
01-07-2018,West,287,165,122,38,174,69,6,155,129,0,3,85,209
01-08-2018,Dublin,3944,2147,1797,571,2398,899,76,1778,2183,65,0,1307,2821
01-08-2018,Mid-East,212,130,82,30,111,62,9,139,52,21,0,38,74
01-08-2018,Midlands,104,51,53,23,69,11,1,65,39,0,0,38,87
01-08-2018,Mid-West,370,229,141,49,213,95,13,122,203,45,0,79,162
01-08-2018,North-East,132,79,53,13,77,34,8,71,60,1,0,28,62
01-08-2018,North-West,67,48,19,14,36,16,1,22,26,15,5,6,15
01-08-2018,South-East,317,212,105,65,165,79,8,112,188,4,13,36,71
01-08-2018,South-West,430,242,188,72,249,100,9,257,202,0,0,98,247
01-08-2018,West,258,149,109,38,145,71,4,142,113,0,3,68,154
01-09-2018,Dublin,3940,2125,1815,578,2381,903,78,1787,2179,57,0,1326,2869
01-09-2018,Mid-East,221,131,90,25,140,53,3,152,65,4,0,45,106
01-09-2018,Midlands,111,54,57,37,68,5,1,74,37,0,0,43,104
01-09-2018,Mid-West,354,217,137,49,203,93,9,120,199,38,0,78,168
01-09-2018,North-East,132,80,52,14,82,29,7,66,65,1,0,29,63
01-09-2018,North-West,54,36,18,9,24,20,1,11,25,13,5,5,14
01-09-2018,South-East,338,220,118,72,170,86,10,123,191,4,20,35,66
01-09-2018,South-West,457,263,194,69,282,95,11,268,197,0,0,116,280
01-09-2018,West,262,149,113,40,157,60,5,150,110,0,5,76,159
01-10-2018,Dublin,4027,2191,1836,544,2454,950,79,1838,2180,64,0,1295,2800
01-10-2018,Mid-East,213,124,89,26,128,56,3,139,71,3,0,39,96
01-10-2018,Midlands,102,51,51,24,60,15,3,65,37,0,0,37,81
01-10-2018,Mid-West,369,231,138,52,208,101,8,123,200,46,0,73,156
01-10-2018,North-East,133,83,50,13,81,32,7,56,74,3,0,23,59
01-10-2018,North-West,57,36,21,10,27,19,1,17,25,12,3,10,19
01-10-2018,South-East,347,225,122,70,175,92,10,125,198,4,20,37,74
01-10-2018,South-West,460,262,198,68,279,103,10,272,198,0,0,118,273
01-10-2018,West,291,164,127,46,168,69,8,164,122,0,5,77,167
01-11-2018,Dublin,4129,2299,1830,552,2503,994,80,2002,2162,64,0,1296,2816
01-11-2018,Mid-East,223,131,92,30,135,55,3,110,110,3,0,44,104
01-11-2018,Midlands,118,62,56,25,68,21,4,81,37,0,0,43,103
01-11-2018,Mid-West,385,239,146,58,211,108,8,136,199,50,0,81,160
01-11-2018,North-East,142,92,50,14,86,33,9,60,79,3,0,22,59
01-11-2018,North-West,55,38,17,12,25,15,3,17,27,7,4,7,17
01-11-2018,South-East,317,211,106,64,159,87,7,106,190,4,17,33,68
01-11-2018,South-West,495,284,211,68,301,117,9,289,207,0,0,120,298
01-11-2018,West,293,166,127,45,166,75,7,199,88,0,6,82,186
01-12-2018,Dublin,4175,2349,1826,565,2523,1006,81,1993,2170,66,0,1252,2686
01-12-2018,Mid-East,232,134,98,32,139,58,3,113,116,3,0,38,95
01-12-2018,Midlands,109,58,51,19,67,20,3,72,37,0,0,35,97
01-12-2018,Mid-West,355,220,135,52,187,108,8,113,199,43,0,53,104
01-12-2018,North-East,141,92,49,19,78,35,9,63,75,3,0,18,43
01-12-2018,North-West,46,31,15,10,23,12,1,14,24,6,2,6,15
01-12-2018,South-East,319,211,108,66,157,89,7,114,189,2,14,31,58
01-12-2018,South-West,491,296,195,65,298,116,12,265,226,0,0,103,282
01-12-2018,West,326,193,133,41,181,95,9,192,128,0,6,81,179
01-01-2019,Dublin,4258,2428,1830,577,2586,1018,77,2043,2242,72,0,1221,2706
01-01-2019,Mid-East,254,149,105,32,160,59,3,125,126,3,0,40,105
01-01-2019,Midlands,111,60,51,19,66,22,4,74,37,0,0,35,101
01-01-2019,Mid-West,338,221,117,47,179,103,9,107,190,41,0,64,119
01-01-2019,North-East,162,97,65,22,90,41,9,99,62,1,0,25,55
01-01-2019,North-West,52,35,17,13,27,11,1,17,24,10,1,10,25
01-01-2019,South-East,316,212,104,65,167,76,8,108,194,2,12,30,51
01-01-2019,South-West,514,324,190,65,319,117,13,288,235,0,0,108,283
01-01-2019,West,358,218,140,53,199,95,11,216,136,0,6,81,179
01-02-2019,Dublin,4304,2452,1852,565,2617,1052,70,2052,2281,74,0,1288,2806
01-02-2019,Mid-East,280,169,111,35,173,68,4,177,93,3,7,43,121
01-02-2019,Midlands,116,61,55,25,63,25,3,78,38,0,0,35,98
01-02-2019,Mid-West,349,224,125,55,186,99,9,117,190,42,0,71,136
01-02-2019,North-East,161,96,65,27,84,40,10,95,63,3,0,20,49
01-02-2019,North-West,61,41,20,15,31,14,1,27,23,10,1,11,26
01-02-2019,South-East,322,210,112,62,169,83,8,116,191,3,12,38,64
01-02-2019,South-West,532,324,208,69,328,121,14,302,236,0,0,122,283
01-02-2019,West,355,218,137,57,188,100,10,219,130,0,6,79,201
01-03-2019,Dublin,4315,2465,1850,567,2627,1058,63,2073,2251,74,0,1297,2806
01-03-2019,Mid-East,283,173,110,27,176,75,5,171,105,3,4,50,130
01-03-2019,Midlands,116,56,60,26,61,27,2,80,36,0,0,34,100
01-03-2019,Mid-West,347,228,119,57,186,97,7,122,188,37,0,76,146
01-03-2019,North-East,173,105,68,27,94,41,11,101,70,2,0,19,47
01-03-2019,North-West,55,39,16,12,31,11,1,20,23,9,3,10,25
01-03-2019,South-East,313,203,110,61,161,82,9,110,184,3,16,37,65
01-03-2019,South-West,534,313,221,64,322,133,15,315,222,0,0,125,289
01-03-2019,West,348,206,142,47,190,99,12,215,127,0,6,85,213
01-04-2019,Dublin,4401,2538,1863,582,2647,1105,67,2118,2330,69,0,1284,2769
01-04-2019,Mid-East,303,189,114,33,185,76,9,183,113,3,4,59,144
01-04-2019,Midlands,122,62,60,29,62,29,2,83,39,0,0,30,79
01-04-2019,Mid-West,331,219,112,54,181,89,7,117,176,38,0,75,139
01-04-2019,North-East,178,113,65,26,98,41,13,108,69,1,0,18,42
01-04-2019,North-West,48,33,15,7,28,11,2,16,20,11,1,8,22
01-04-2019,South-East,304,206,98,58,161,77,8,98,186,3,17,38,67
01-04-2019,South-West,556,320,236,74,343,125,14,339,222,0,0,137,314
01-04-2019,West,341,204,137,40,191,98,12,206,129,0,7,80,218
01-05-2019,Dublin,4367,2542,1825,571,2616,1107,73,2097,2316,72,0,1275,2771
